Section,Standard,Indicator,Evidence Required,Responsible Person,Frequency,Assigned to,Compliance Evidence,Score
Responsibilities of Management (ROM),The laboratory is easily identifiable.,The laboratory is identifiable with name on a sign board.,,,,,,
Responsibilities of Management (ROM),The laboratory is easily identifiable.,The laboratory sign board conforms to the prescribed local legal standards.,,,,,,
Responsibilities of Management (ROM),The laboratory is easily identifiable.,The laboratory is registered/licensed with the PHC.,,,,,,
Responsibilities of Management (ROM),The laboratory is easily identifiable.,Associated collection centers are reflected in the Registration Certificate/License issued by the PHC.,,,,,,
Responsibilities of Management (ROM),The laboratory is easily identifiable.,Signed valid MOU showing linkage with any other laboratory or organization for referral of specialized tests exists.,,,,,,
Responsibilities of Management (ROM),A technically qualified and experienced individual heads the laboratory.,The individual heading the laboratory has requisite and appropriate technical qualification and experience.,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for lab management lay down the laboratory's mission statement.,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for management lay down a detailed laboratory policy and standard operating procedures (SOPs).,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for management lay down an emergency policy and standard operating procedures (SOPs).,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for management approve sufficient laboratory budget and allocate the resources required to accomplish the mission.,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for management establish the laboratory's organogram.,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for management appoint the section heads in the laboratory.,,,,,,
Responsibilities of Management (ROM),Responsibilities of management are defined.,Those responsible for management support research activities .,,,,,,
Facility Management and Safety (FMS),The management is aware of and complies with the relevant laws, by laws rules and regulations and facility inspection requirements under the relevant building and associated codes applicable to laboratories.The management is conversant with the relevant laws and regulations and knows their applicability to the laboratory.,,,,,,
Facility Management and Safety (FMS),The management is aware of and complies with the relevant laws, by laws rules and regulations and facility inspection requirements under the relevant building and associated codes applicable to laboratories.The management regularly updates any amendments in the prevailing relevant laws and rules.,,,,,,
Facility Management and Safety (FMS),The management is aware of and complies with the relevant laws, by laws rules and regulations and facility inspection requirements under the relevant building and associated codes applicable to laboratories.The management ensures implementation of these requirements.,,,,,,
Facility Management and Safety (FMS),Facility work flow design conforms with the scope of services.,Space allocation and effective separation between administrative and technical laboratory areas.,,,,,,
Facility Management and Safety (FMS),Facility work flow design conforms with the scope of services.,Measures are taken to restrict movement of the technical staff working in different sections of the laboratory.,,,,,,
Facility Management and Safety (FMS),The laboratory has plans for fire and non-fire emergencies within the sections.,Plans and provisions for early detection of fire and non-fire emergencies exist.,,,,,,
Facility Management and Safety (FMS),The laboratory has plans for fire and non-fire emergencies within the sections.,Provisions for abatement of fire and non-fire emergencies exist.,,,,,,
Facility Management and Safety (FMS),The laboratory has plans for fire and non-fire emergencies within the sections.,Provisions for containment of fire emergencies exist.,,,,,,
Facility Management and Safety (FMS),The laboratory has plans for fire and non-fire emergencies within the sections.,Displayed safe exit points in case of fire and non-fire emergencies exist.,,,,,,
Facility Management and Safety (FMS),The laboratory has plans for fire and non-fire emergencies within the sections.,Mock drills are held at least once in a year.,,,,,,
Facility Management and Safety (FMS),The laboratory has plans for fire and non-fire emergencies within the sections.,Staff members are trained for their role in case of such emergencies.,,,,,,
Human Resource Management (HRM),Staff deployment is in accordance with the scope of laboratory work.,Job description for every post is identified and documented.,,,,,,
Human Resource Management (HRM),Staff deployment is in accordance with the scope of laboratory work.,Eligibility criteria regarding qualification and experience for each job is available.,,,,,,
Human Resource Management (HRM),Staff deployment is in accordance with the scope of laboratory work.,Recruitments are made according to laid down eligibility criteria.,,,,,,
Human Resource Management (HRM),The staff members joining the laboratory are oriented to the laboratory environment, the laboratory sections and their individual jobs.An appropriate orientation plan exists for newly inducted employees.,,,,,,
Human Resource Management (HRM),The staff members joining the laboratory are oriented to the laboratory environment, the laboratory sections and their individual jobs.Each staff member is made aware of laboratory wide policies and procedures as well as section/unit/service/program specific policies and procedures.,,,,,,
Human Resource Management (HRM),The staff members joining the laboratory are oriented to the laboratory environment, the laboratory sections and their individual jobs.Each staff member is made aware of his/her rights and responsibilities.,,,,,,
Human Resource Management (HRM),The staff members joining the laboratory are oriented to the laboratory environment, the laboratory sections and their individual jobs.All employees are educated with regard to patients' rights and responsibilities.,,,,,,
Human Resource Management (HRM),An appraisal system for evaluating the performance of employees exists as an integral part of the human resource management process.,Well-documented performance appraisal tools exist in the laboratory.,,,,,,
